timestamp,event_type,service_name,request_index,failed,request_duration_ms,resource_usage_percent,mean_request_duration_ms,mean_resource_usage_percent
2026-05-04T00:39:13.261+00:00,request,ServiceA,19,1,1029.018,0.0,1029.018,0.0
2026-05-04T00:39:13.262+00:00,request,ServiceA,34,1,1027.488,0.0,1028.253,0.0
2026-05-04T00:39:13.896+00:00,resource,,,,,50.3,1028.253,50.3
2026-05-04T00:39:16.539+00:00,resource,,,,,51.1,1028.253,50.7
2026-05-04T00:39:17.505+00:00,request,ServiceA,25,0,5271.527,51.1,2442.678,50.7
2026-05-04T00:39:17.602+00:00,request,ServiceA,8,0,5371.009,51.1,3174.761,50.7
2026-05-04T00:39:17.713+00:00,request,ServiceA,13,0,5481.896,51.1,3636.188,50.7
2026-05-04T00:39:17.811+00:00,request,ServiceA,49,0,5575.4,51.1,3959.39,50.7
2026-05-04T00:39:17.817+00:00,request,ServiceA,18,0,5585.023,51.1,4191.623,50.7
2026-05-04T00:39:17.825+00:00,request,ServiceA,24,0,5591.779,51.1,4366.643,50.7
2026-05-04T00:39:17.829+00:00,request,ServiceA,41,0,5594.384,51.1,4503.058,50.7
2026-05-04T00:39:17.918+00:00,request,ServiceA,6,0,5687.006,51.1,4621.453,50.7
2026-05-04T00:39:17.931+00:00,request,ServiceA,2,0,5700.815,51.1,4719.577,50.7
2026-05-04T00:39:18.032+00:00,request,ServiceA,20,0,5799.237,51.1,4809.548,50.7
2026-05-04T00:39:18.104+00:00,request,ServiceA,10,0,5872.897,51.1,4891.345,50.7
2026-05-04T00:39:18.110+00:00,request,ServiceA,7,0,5879.386,51.1,4961.919,50.7
2026-05-04T00:39:18.115+00:00,request,ServiceA,30,0,5880.952,51.1,5023.188,50.7
2026-05-04T00:39:18.128+00:00,request,ServiceA,4,0,5897.92,51.1,5077.859,50.7
2026-05-04T00:39:18.411+00:00,request,ServiceA,14,0,6179.379,51.1,5142.654,50.7
2026-05-04T00:39:18.614+00:00,request,ServiceA,29,0,6380.784,51.1,5211.439,50.7
2026-05-04T00:39:19.187+00:00,resource,,,,,49.98,5211.439,50.46
2026-05-04T00:39:19.600+00:00,request,ServiceA,40,0,7364.713,49.98,5324.769,50.46
2026-05-04T00:39:19.624+00:00,request,ServiceA,36,0,7390.095,49.98,5428.035,50.46
2026-05-04T00:39:19.628+00:00,request,ServiceA,32,0,7394.598,49.98,5521.681,50.46
2026-05-04T00:39:19.697+00:00,request,ServiceA,37,0,7462.91,49.98,5609.919,50.46
2026-05-04T00:39:19.699+00:00,request,ServiceA,27,0,7465.712,49.98,5690.606,50.46
2026-05-04T00:39:19.710+00:00,request,ServiceA,17,0,7478.425,49.98,5765.098,50.46
2026-05-04T00:39:19.715+00:00,request,ServiceA,1,0,7485.28,49.98,5833.905,50.46
2026-05-04T00:39:19.731+00:00,request,ServiceA,33,0,7496.644,49.98,5897.857,50.46
2026-05-04T00:39:19.824+00:00,request,ServiceA,47,0,7588.312,49.98,5960.466,50.46
2026-05-04T00:39:19.827+00:00,request,ServiceA,11,0,7595.512,49.98,6018.861,50.46
2026-05-04T00:39:19.901+00:00,request,ServiceA,9,0,7669.766,49.98,6075.789,50.46
2026-05-04T00:39:19.909+00:00,request,ServiceA,35,0,7675.105,49.98,6129.099,50.46
2026-05-04T00:39:19.910+00:00,request,ServiceA,21,0,7677.708,49.98,6179.054,50.46
2026-05-04T00:39:19.914+00:00,request,ServiceA,42,0,7678.621,49.98,6225.916,50.46
2026-05-04T00:39:19.918+00:00,request,ServiceA,50,0,7682.284,49.98,6270.048,50.46
2026-05-04T00:39:19.919+00:00,request,ServiceA,31,0,7685.423,49.98,6311.677,50.46
2026-05-04T00:39:19.922+00:00,request,ServiceA,26,0,7688.833,49.98,6351.024,50.46
2026-05-04T00:39:19.923+00:00,request,ServiceA,44,0,7687.999,49.98,6388.162,50.46
2026-05-04T00:39:19.924+00:00,request,ServiceA,5,0,7693.974,49.98,6423.454,50.46
2026-05-04T00:39:19.927+00:00,request,ServiceA,23,0,7694.007,49.98,6456.89,50.46
2026-05-04T00:39:19.927+00:00,request,ServiceA,22,0,7694.359,49.98,6488.62,50.46
2026-05-04T00:39:20.004+00:00,request,ServiceA,16,0,7772.437,49.98,6520.715,50.46
2026-05-04T00:39:20.006+00:00,request,ServiceA,28,0,7772.48,49.98,6551.246,50.46
2026-05-04T00:39:20.007+00:00,request,ServiceA,12,0,7775.542,49.98,6580.396,50.46
2026-05-04T00:39:20.011+00:00,request,ServiceA,45,0,7775.674,49.98,6608.193,50.46
2026-05-04T00:39:20.014+00:00,request,ServiceA,43,0,7778.933,49.98,6634.801,50.46
2026-05-04T00:39:20.015+00:00,request,ServiceA,48,0,7778.724,49.98,6660.222,50.46
2026-05-04T00:39:20.019+00:00,request,ServiceA,46,0,7783.322,49.98,6684.637,50.46
2026-05-04T00:39:20.022+00:00,request,ServiceA,3,0,7791.143,49.98,6708.179,50.46
2026-05-04T00:39:20.022+00:00,request,ServiceA,15,0,7790.054,49.98,6730.719,50.46
2026-05-04T00:39:20.023+00:00,request,ServiceA,38,0,7788.193,49.98,6752.3,50.46
2026-05-04T00:39:20.023+00:00,request,ServiceA,39,0,7788.643,49.98,6773.027,50.46
