Level,1,1_std,5,5_std,10,10_std,50,50_std,100,100_std,500,500_std,1000,1000_std
1_monolithic,0.000,0.000,0.000,0.000,0.000,0.000,4.400,3.878,10.100,4.742,68.140,2.282,46.240,6.642
2_microservices_medium_granularity,0.000,0.000,0.000,0.000,0.000,0.000,6.000,5.797,11.400,5.333,56.380,6.741,36.770,13.079
3_microservices_fine_granularity,0.000,0.000,0.000,0.000,0.000,0.000,5.400,4.005,12.200,5.653,59.400,4.274,37.640,4.796
4_microservices_medium_granularity_isolation,0.000,0.000,0.000,0.000,0.000,0.000,8.000,5.060,10.500,3.748,48.480,3.015,9.020,4.109
5_microservices_fine_granularity_isolation,0.000,0.000,0.000,0.000,0.000,0.000,3.800,3.280,10.500,5.296,45.680,7.387,8.950,6.614
6_microservices_fine_granularity_high_isolation,0.000,0.000,0.000,0.000,0.000,0.000,4.400,3.980,6.400,4.737,40.700,4.463,2.010,3.588
