timestamp,event_type,service_name,request_index,failed,request_duration_ms,resource_usage_percent,mean_request_duration_ms,mean_resource_usage_percent
2026-05-04T07:43:39.596+00:00,request,ServiceA,79,0,1275.807,0.0,1275.807,0.0
2026-05-04T07:43:40.251+00:00,request,ServiceA,782,0,1948.28,0.0,1612.043,0.0
2026-05-04T07:43:40.344+00:00,request,ServiceA,833,0,1878.251,0.0,1700.779,0.0
2026-05-04T07:43:40.985+00:00,request,ServiceA,594,0,2700.142,0.0,1950.62,0.0
2026-05-04T07:43:41.223+00:00,request,ServiceA,301,0,2018.862,0.0,1964.268,0.0
2026-05-04T07:43:41.582+00:00,request,ServiceA,269,0,3420.453,0.0,2206.966,0.0
2026-05-04T07:43:41.910+00:00,request,ServiceA,693,0,3796.866,0.0,2434.094,0.0
2026-05-04T07:43:42.097+00:00,request,ServiceA,24,0,3554.955,0.0,2574.202,0.0
2026-05-04T07:43:42.362+00:00,request,ServiceA,735,0,4024.247,0.0,2735.318,0.0
2026-05-04T07:43:42.594+00:00,request,ServiceA,300,0,4005.992,0.0,2862.385,0.0
2026-05-04T07:43:42.595+00:00,request,ServiceA,214,0,4502.734,0.0,3011.508,0.0
2026-05-04T07:43:42.596+00:00,request,ServiceA,811,0,3832.827,0.0,3079.951,0.0
2026-05-04T07:43:42.956+00:00,request,ServiceA,195,0,3847.205,0.0,3138.971,0.0
2026-05-04T07:43:42.972+00:00,request,ServiceA,84,0,4666.778,0.0,3248.1,0.0
2026-05-04T07:43:42.986+00:00,request,ServiceA,855,0,4774.726,0.0,3349.875,0.0
2026-05-04T07:43:43.036+00:00,request,ServiceA,460,0,4922.464,0.0,3448.162,0.0
2026-05-04T07:43:43.205+00:00,request,ServiceA,160,0,4788.754,0.0,3527.02,0.0
2026-05-04T07:43:43.220+00:00,request,ServiceA,103,0,3750.881,0.0,3539.457,0.0
2026-05-04T07:43:43.266+00:00,request,ServiceA,344,0,4632.256,0.0,3596.973,0.0
2026-05-04T07:43:43.267+00:00,request,ServiceA,203,0,4457.225,0.0,3639.985,0.0
2026-05-04T07:43:43.268+00:00,request,ServiceA,293,0,4695.147,0.0,3690.231,0.0
2026-05-04T07:43:43.279+00:00,request,ServiceA,313,0,4515.287,0.0,3727.734,0.0
2026-05-04T07:43:43.283+00:00,request,ServiceA,896,0,5093.291,0.0,3787.106,0.0
2026-05-04T07:43:43.318+00:00,request,ServiceA,765,0,4997.043,0.0,3837.52,0.0
